json_id,location,quarter,ticker,year
3507,../archive/2012.QTR3/0001144204-12-043385.json,3,INOD,2012
3508,../archive/2012.QTR3/0001104659-12-057796.json,3,WIFI,2012
3509,../archive/2012.QTR3/0001493152-12-001153.json,3,KDMP,2012
3510,../archive/2012.QTR3/0001424454-12-000026.json,3,ROVI,2012
3511,../archive/2012.QTR3/0001056288-12-000012.json,3,FII,2012
3512,../archive/2012.QTR3/0000802967-12-000004.json,3,SIDE,2012
3513,../archive/2012.QTR3/0000919574-12-004576.json,3,CPTC,2012
3514,../archive/2012.QTR3/0001144204-12-045744.json,3,VRNG,2012
3515,../archive/2012.QTR3/0001104659-12-054155.json,3,GUID,2012
3516,../archive/2012.QTR3/0001477472-12-000024.json,3,AHFD,2012
3517,../archive/2012.QTR3/0001104659-12-056538.json,3,GNK,2012
3518,../archive/2012.QTR3/0001193125-12-354465.json,3,HLM,2012
3519,../archive/2012.QTR3/0001299033-12-000048.json,3,CLMS,2012
3520,../archive/2012.QTR3/0001140361-12-033936.json,3,CMCO,2012
3521,../archive/2012.QTR3/0001040161-12-000045.json,3,PXLW,2012
3522,../archive/2012.QTR3/0001469299-12-000293.json,3,CRWG,2012
3523,../archive/2012.QTR3/0001437749-12-009305.json,3,DTOR,2012
3524,../archive/2012.QTR3/0001548123-12-000233.json,3,RSCF,2012
3525,../archive/2012.QTR3/0001002014-12-000441.json,3,MYDR,2012
3526,../archive/2012.QTR3/0001193125-12-355274.json,3,ABEL,2012
3527,../archive/2012.QTR3/0001104659-12-056611.json,3,WPP,2012
3528,../archive/2012.QTR3/0000097745-12-000029.json,3,TMO,2012
3529,../archive/2012.QTR3/0001193125-12-319760.json,3,ABVA,2012
3530,../archive/2012.QTR3/0001193125-12-366797.json,3,IMMU,2012
3531,../archive/2012.QTR3/0001144204-12-045197.json,3,GCRSF,2012
3532,../archive/2012.QTR3/0001104659-12-056241.json,3,STRI,2012
3533,../archive/2012.QTR3/0001104659-12-052202.json,3,WSB,2012
3534,../archive/2012.QTR3/0001437749-12-007931.json,3,DMLP,2012
3535,../archive/2012.QTR3/0001144204-12-043413.json,3,CUI,2012
3536,../archive/2012.QTR3/0001188112-12-002434.json,3,FLL,2012
3537,../archive/2012.QTR3/0001178924-12-000134.json,3,AFFW,2012
3538,../archive/2012.QTR3/0001193125-12-327632.json,3,IILA,2012
